Round,Global Loss,Global Accuracy
1,2.64,0.09
2,2.56,0.11
3,2.47,0.13
4,2.39,0.15
5,2.3,0.18
6,2.23,0.2
7,2.15,0.23
8,2.08,0.26
9,2.01,0.29
10,1.96,0.31
11,1.91,0.33
12,1.87,0.34
13,1.84,0.35
14,1.82,0.36
15,1.8,0.37
16,1.78,0.38
17,1.75,0.39
18,1.74,0.39
19,1.73,0.4
20,1.72,0.4
21,1.71,0.41
22,1.7,0.41
23,1.69,0.42
24,1.68,0.42
25,1.67,0.42
26,1.66,0.42
27,1.66,0.42
28,1.65,0.42
29,1.64,0.43
30,1.63,0.43
31,1.63,0.43
32,1.62,0.43
33,1.61,0.44
34,1.61,0.44
35,1.61,0.44
36,1.6,0.44
37,1.6,0.44
38,1.6,0.44
39,1.59,0.44
40,1.59,0.44
41,1.59,0.44
42,1.59,0.44
43,1.59,0.44
44,1.59,0.44
45,1.59,0.44
46,1.58,0.44
47,1.58,0.44
48,1.58,0.44
49,1.58,0.44
50,1.58,0.44
