Round,Global Loss,Global Accuracy
1,2.44,0.14
2,2.36,0.14
3,2.29,0.16
4,2.23,0.19
5,2.17,0.21
6,2.1,0.25
7,2.04,0.27
8,1.97,0.3
9,1.91,0.32
10,1.87,0.33
11,1.84,0.34
12,1.81,0.36
13,1.78,0.37
14,1.76,0.38
15,1.75,0.38
16,1.74,0.38
17,1.72,0.4
18,1.71,0.4
19,1.7,0.41
20,1.69,0.41
21,1.68,0.41
22,1.67,0.41
23,1.66,0.42
24,1.66,0.42
25,1.64,0.42
26,1.64,0.42
27,1.63,0.42
28,1.63,0.43
29,1.62,0.43
30,1.62,0.43
31,1.61,0.43
32,1.6,0.43
33,1.6,0.43
34,1.6,0.43
35,1.6,0.43
36,1.59,0.43
37,1.59,0.43
38,1.59,0.43
39,1.58,0.44
40,1.58,0.44
41,1.57,0.44
42,1.57,0.44
43,1.57,0.44
44,1.57,0.44
45,1.57,0.44
46,1.57,0.44
47,1.56,0.44
48,1.56,0.44
49,1.56,0.44
50,1.56,0.44
