Round,Global Loss,Global Accuracy
1,2.51,0.11
2,2.38,0.13
3,2.29,0.15
4,2.21,0.18
5,2.13,0.21
6,2.07,0.24
7,2.02,0.27
8,1.96,0.3
9,1.91,0.33
10,1.86,0.34
11,1.83,0.35
12,1.81,0.36
13,1.79,0.37
14,1.78,0.38
15,1.76,0.38
16,1.75,0.38
17,1.73,0.39
18,1.72,0.39
19,1.72,0.4
20,1.7,0.4
21,1.69,0.41
22,1.68,0.42
23,1.66,0.42
24,1.65,0.42
25,1.64,0.42
26,1.64,0.43
27,1.63,0.43
28,1.62,0.43
29,1.61,0.44
30,1.61,0.44
31,1.6,0.44
32,1.6,0.44
33,1.59,0.44
34,1.58,0.44
35,1.58,0.45
36,1.57,0.45
37,1.57,0.45
38,1.57,0.45
39,1.57,0.45
40,1.56,0.45
41,1.56,0.45
42,1.56,0.45
43,1.56,0.45
44,1.56,0.45
45,1.56,0.45
46,1.56,0.45
47,1.56,0.45
48,1.56,0.45
49,1.56,0.45
50,1.56,0.45
