Round,Global Loss,Global Accuracy
1,2.49,0.11
2,2.44,0.1
3,2.38,0.13
4,2.35,0.15
5,2.28,0.18
6,2.29,0.16
7,2.27,0.18
8,2.36,0.17
9,2.31,0.18
10,2.26,0.21
11,2.14,0.24
12,2.13,0.25
13,2.15,0.25
14,2.14,0.26
15,2.07,0.27
16,2.03,0.28
17,1.95,0.31
18,1.93,0.32
19,1.92,0.33
20,1.9,0.33
21,1.89,0.34
22,1.84,0.36
23,1.82,0.36
24,1.81,0.37
25,1.81,0.37
26,1.8,0.37
27,1.78,0.38
28,1.77,0.38
29,1.76,0.39
30,1.77,0.39
31,1.76,0.38
32,1.75,0.38
33,1.75,0.38
34,1.76,0.38
35,1.74,0.38
36,1.74,0.39
37,1.73,0.38
38,1.73,0.39
39,1.73,0.39
40,1.73,0.39
41,1.72,0.39
42,1.72,0.39
43,1.72,0.39
44,1.72,0.39
45,1.71,0.39
46,1.72,0.39
47,1.71,0.39
48,1.71,0.39
49,1.71,0.39
50,1.71,0.39
